,mean_abs_shap
GenHlth,0.2178876811227622
Age,0.15623388853250833
ComorbidityScore,0.12371739659705129
BMI,0.11263574991760371
HighBP,0.07646186294509986
Income,0.06275591922582338
HighChol,0.04107762443196392
BMICategory,0.039928898829319166
Sex,0.025341029028121652
DiffWalk,0.01733171242985242
CholCheck,0.01705951729262955
MentHlth,0.01591548235495524
HvyAlcoholConsump,0.014567957069906715
Education,0.011939532796722168
NoDocbcCost,0.008375944900498417
PhysHlth,0.008114163680338932
HeartDiseaseorAttack,0.006352503935776303
PhysActivity,0.0035643540135891624
LifestyleScore,0.0032381405931957586
Fruits,0.001958931041077862
Smoker,0.0014822947910829662
Stroke,0.0013301997267848415
Veggies,0.0010478130810934886
AnyHealthcare,0.0008833576433461965
